mysql> \. selectSyntheticData.sql
+--------------------------------+------------------------+----------------------+------------+
| name                           | address                | city                 | zip        |
+--------------------------------+------------------------+----------------------+------------+
| Kohler LLC                     | 34689 Kuhic Shores     | Micaelaland          | 12477-4450 |
| Lebsack-Powlowski              | 7452 Meggie Meadows    | Reannabury           | 10303-0348 |
| Rutherford-Kozey               | 9033 Bogan Springs     | Heaneyland           | 46041      |
| Hagenes Group                  | 32916 Tate Garden      | Lake Heloise         | 70111      |
| Parisian, Stroman and Beatty   | 1991 Schowalter Forges | Jastberg             | 21441      |
| Schmidt Group                  | 8315 Simeon Isle       | South Rosellachester | 68397-2635 |
| Bradtke, Collier and Roberts   | 397 Spencer Vista      | Gunnarhaven          | 28480-7483 |
| Gerhold-Klocko                 | 138 Angela Bypass      | North Robertochester | 84541      |
| Ward, Marks and Watsica        | 5303 Amos Neck         | North Elisa          | 29699      |
| Cassin and Sons                | 4206 Rice Landing      | North Justusfurt     | 56413      |
| Marquardt, Harvey and Crona    | 154 Orie Villages      | Josueburgh           | 53841-6556 |
| Little-Paucek                  | 937 Chanel Rest        | North Kimberlyfurt   | 55875      |
| Dare LLC                       | 7383 Wilbert Mission   | West Moriah          | 55125-4969 |
| Abshire-Hand                   | 1787 Odie Lights       | Rutherfordview       | 80411-3567 |
| Jacobson, Wunsch and Aufderhar | 97265 Jody Streets     | Goldenton            | 85982-9311 |
| Shields Inc                    | 5178 Halvorson Meadows | Norbertville         | 10251      |
| Ledner and Sons                | 35009 Amira Port       | Bednarfurt           | 43860-6209 |
| Kovacek, Goyette and Donnelly  | 633 Homenick Club      | Kraigfurt            | 51875      |
| Corkery, Aufderhar and Green   | 7184 Hansen Orchard    | Sidmouth             | 74051      |
| Ondricka-Fay                   | 3431 Smitham Springs   | South Keshaun        | 73917-8263 |
| Schamberger, Cassin and Jones  | 162 Alda Terrace       | Legrostown           | 14958-0608 |
| Bergnaum, Rosenbaum and Kunze  | 58137 Lesch Stravenue  | Arianehaven          | 68991-3331 |
| Maggio Group                   | 36425 Jadon Knoll      | Mannburgh            | 42040-7304 |
| O'Hara-Abshire                 | 8211 Angel Rapids      | Anaview              | 84732-3561 |
| Leannon, Watsica and Reinger   | 2641 Altenwerth Dam    | Henrimouth           | 96313-3996 |
| Leannon Inc                    | 2752 Bosco Route       | Lonberg              | 77395-8849 |
| Yundt and Sons                 | 82158 Ferry Plains     | Murazikhaven         | 72790      |
| Goldner LLC                    | 325 Juliet Points      | South Khalilstad     | 78302-5312 |
| Spencer, Klein and Green       | 488 Domenic Islands    | Lake Marcelinomouth  | 53814      |
| Rutherford-Thiel               | 697 Modesta Highway    | West Mayrabury       | 26496-8052 |
+--------------------------------+------------------------+----------------------+------------+
30 rows in set (0.00 sec)

+----------------------+---------------+-------------+------------+
| customerID           | lastName      | firstName   | birthDate  |
+----------------------+---------------+-------------+------------+
| 89737307158456593684 | Beier         | Easton      | 2011-05-20 |
| 74028447144962832811 | Blanda        | Theresia    | 1995-05-26 |
| 72228031690815707211 | Bauch         | Tad         | 1997-05-04 |
| 75254528836828975266 | Adams         | Christophe  | 2010-06-03 |
| 82032748548174491647 | Jaskolski     | Theron      | 2002-06-28 |
| 77388604374305634651 | King          | Mya         | 1978-02-23 |
| 76498728485494063211 | Effertz       | Trystan     | 2012-06-17 |
| 55322861744092384094 | Gaylord       | Bartholome  | 1991-07-13 |
| 86250012553095832943 | Jakubowski    | Lloyd       | 2013-01-17 |
| 42049092212963252617 | Dietrich      | Samir       | 1980-03-01 |
| 07913660400053677883 | Gutkowski     | Janessa     | 1983-10-19 |
| 41428402002532568742 | Wunsch        | Sibyl       | 1993-04-14 |
| 51038134447429741109 | Strosin       | Javier      | 1975-01-12 |
| 80612714245971927796 | Reichel       | Randal      | 1971-06-07 |
| 25358562902274482404 | Kozey         | Ciara       | 1987-01-20 |
| 67275588142839546566 | Fisher        | Ewald       | 1989-01-10 |
| 57184048641341390567 | Thiel         | Rylee       | 1975-01-11 |
| 62465314921367956363 | Marquardt     | Johnny      | 2001-12-04 |
| 94882471957663324579 | Beer          | Florine     | 1984-03-28 |
| 44835038700916727602 | Funk          | Janet       | 1990-11-11 |
| 18793112299686184000 | Ferry         | Kelly       | 1991-05-21 |
| 92197667412791397827 | Casper        | Pascale     | 2009-11-17 |
| 92686895963243267401 | Prosacco      | Kallie      | 1983-10-25 |
| 99546242797005856210 | Jerde         | Kelsie      | 1996-04-03 |
| 19443013201483833805 | Kerluke       | Lessie      | 2000-01-11 |
| 23891762229213758421 | Kilback       | Lucienne    | 1982-10-17 |
| 83838421673399055676 | O'Conner      | Eunice      | 2009-06-06 |
| 73699570991823217899 | Feil          | Wilma       | 1994-04-25 |
| 91749417872414091195 | Fisher        | Turner      | 1990-10-01 |
| 59103475405116518507 | Kub           | Julius      | 1986-12-22 |
| 38341350158087455208 | Schoen        | Kiana       | 1990-10-29 |
| 40762881242021022720 | Langosh       | Newton      | 1982-09-07 |
| 56660947539870240366 | Thiel         | Nico        | 1976-05-31 |
| 60155497062932234640 | Terry         | Elliott     | 1989-11-17 |
| 27159604171515104337 | Blanda        | Tyshawn     | 2012-12-05 |
| 51113405801175285905 | Hauck         | Jaren       | 1985-11-17 |
| 60889736743985515141 | Lockman       | Montana     | 1970-02-10 |
| 40079694649251364920 | Green         | Gussie      | 1972-06-09 |
| 93384136578119219443 | Wehner        | Elsie       | 2006-07-26 |
| 54583417913349379496 | Cormier       | Kaleigh     | 1991-10-21 |
| 84520174272612132408 | Lebsack       | Margaretta  | 1979-12-04 |
| 54258509966208581678 | Dibbert       | Myrtie      | 1994-10-11 |
| 40088053199291890828 | Parker        | Wilber      | 2002-01-20 |
| 97760478564005766377 | Mayert        | Karianne    | 1994-07-17 |
| 76300234886632020740 | Walter        | Holden      | 1977-02-20 |
| 55456636751611693913 | Tillman       | Katarina    | 1973-04-30 |
| 69928578393561822564 | Dicki         | Daphne      | 1977-05-11 |
| 73203638902876986328 | Stokes        | Garfield    | 1974-11-23 |
| 85030248452215979552 | Roberts       | Aric        | 1994-03-03 |
| 91915570939773465386 | Wintheiser    | Ralph       | 2000-12-30 |
| 34328637594758698986 | Koss          | Alexys      | 1978-07-18 |
| 45204310361457978618 | Schaefer      | Ellen       | 1980-03-21 |
| 24681165333507202930 | Grant         | Elbert      | 1986-01-27 |
| 11191197040225000076 | Barton        | Tyshawn     | 1991-12-13 |
| 82738111546152954095 | D'Amore       | Kristopher  | 2008-07-24 |
| 74060655742293409170 | Dach          | Gunnar      | 1987-12-01 |
| 03276937142004664007 | Parisian      | Genevieve   | 2000-02-07 |
| 25078385199549034026 | Cole          | Hilda       | 2007-02-21 |
| 50900876793877797521 | Ernser        | Della       | 1985-07-04 |
| 89714555316166138832 | White         | Madelynn    | 1976-09-30 |
| 44176916642856561418 | Daniel        | Vidal       | 1992-01-11 |
| 32469665071693499010 | Bartell       | Blanca      | 1990-09-19 |
| 89565737675989992398 | Will          | Lazaro      | 2003-07-19 |
| 09729752934572961275 | Adams         | Abner       | 1981-01-09 |
| 32146028656299059442 | Rice          | Wendell     | 1974-12-08 |
| 24454054915919899807 | Hoppe         | Julian      | 2010-11-19 |
| 67913311342714603203 | Dare          | Ellen       | 1986-10-23 |
| 80071242606768944144 | Davis         | Dillon      | 2006-12-15 |
| 11009371302040929902 | Strosin       | Joanie      | 1981-02-19 |
| 41265128786805497569 | Price         | Angie       | 1976-09-24 |
| 38398256793456384342 | Mueller       | Camilla     | 1998-11-19 |
| 25891763425217684847 | Roob          | Nyah        | 2009-04-15 |
| 44562421640036164988 | Gleichner     | Curtis      | 1983-01-16 |
| 30364184525859002988 | Conn          | Lia         | 1989-05-24 |
| 39574147113505920534 | Fritsch       | Dorcas      | 1979-01-27 |
| 28715844484602721788 | Windler       | Kallie      | 1979-04-06 |
| 13394161297160929101 | Ullrich       | Georgiana   | 2012-04-26 |
| 60448989482924937546 | Glover        | Regan       | 2005-09-19 |
| 91223161214043290514 | Grimes        | Elfrieda    | 1984-11-26 |
| 90875340116662879237 | Koelpin       | Katharina   | 1990-11-15 |
| 52106192173717905437 | Sipes         | Elmira      | 1985-09-22 |
| 11116394855921222775 | Wintheiser    | Rene        | 2000-10-29 |
| 09908852301086098904 | DuBuque       | Rhiannon    | 2003-07-29 |
| 50447782944766955762 | Greenfelder   | Destin      | 1993-07-16 |
| 49068673031460591611 | Kunde         | Ashton      | 1976-09-26 |
| 51237941794532424722 | DuBuque       | Eulalia     | 1998-10-30 |
| 40306896226697172120 | Wiegand       | Mohammed    | 2012-08-22 |
| 98686746147658106635 | Hauck         | Casey       | 1988-06-27 |
| 12648868448391684076 | Funk          | Alize       | 1984-06-11 |
| 09018528039699939874 | Ankunding     | Keara       | 1991-07-10 |
| 64081623014277854135 | Treutel       | Missouri    | 1977-04-20 |
| 28523694360022676778 | Harris        | Ardella     | 1986-10-17 |
| 33080926843931941627 | Mraz          | Eldon       | 1995-04-23 |
| 77058816366986853679 | Gottlieb      | Kailey      | 1970-05-14 |
| 84012515890701699409 | Walter        | Fay         | 1999-03-05 |
| 47116496821254153183 | Halvorson     | Lee         | 1987-03-28 |
| 92161509591447890047 | Morar         | Mitchel     | 1983-02-24 |
| 84692409910137385885 | Leuschke      | Nella       | 1984-04-14 |
| 19507123992239548734 | Jenkins       | Jedidiah    | 1992-03-25 |
| 33056072467749558989 | Schmidt       | Taylor      | 1972-07-14 |
| 77836820659218138818 | Waters        | Brenden     | 1970-02-10 |
| 82412685168948343351 | Hintz         | Juanita     | 2009-11-30 |
| 69447929999963717197 | Moore         | Logan       | 1999-12-12 |
| 87838253705825349863 | Keeling       | Wilton      | 2002-11-06 |
| 20156777656639861967 | Cruickshank   | Quincy      | 2004-03-11 |
| 50660272671680500204 | Legros        | Jean        | 1985-03-27 |
